description,category
Security software detected a process attempting to disable the host firewall,malware
A malicious browser extension was found silently collecting saved passwords,malware
An infected machine began scanning the local network for other vulnerable hosts,malware
Sandboxing revealed the sample decrypts a hidden payload only when internet access is detected,malware
A trojanized installer was distributed through a compromised software download page,malware
Memory analysis revealed a process hollowing technique used to hide malicious code,malware
Persistence mechanism was found adding the malware to the system startup folder,malware
Command and control beacon traffic was detected at regular short intervals,malware
An unknown process was observed disabling endpoint logging shortly after execution,malware
Malicious macro inside a document downloaded and executed a second stage payload,malware
All files on the shared drive were encrypted and a note demanded payment in cryptocurrency,ransomware
Employees discovered their documents renamed with an unfamiliar extension and a ransom note,ransomware
Backup server was also encrypted before the ransom message appeared on screens,ransomware
A pop up demanded payment within forty eight hours or the encryption key would be deleted,ransomware
File shares became inaccessible after a sudden spike in disk encryption activity,ransomware
The attacker threatened to leak stolen data unless the ransom was paid,ransomware
Hospital systems were locked out of patient records by an encryption based attack,ransomware
Network shares displayed a text file demanding cryptocurrency payment for file recovery,ransomware
Double extortion attack encrypted files and exfiltrated data before demanding payment,ransomware
Critical servers went offline simultaneously with a ransom demand displayed on screen,ransomware
Recovery attempts failed because backups had also been encrypted by the attacker,ransomware
A ransomware strain disabled the antivirus before beginning mass file encryption,ransomware
Employees were locked out of their workstations by a full disk encryption screen,ransomware
Attackers demanded a six figure payment after encrypting the entire finance department,ransomware
A ransom note appeared as the desktop wallpaper on every infected workstation,ransomware
Encrypted file extensions appeared across the network within a span of minutes,ransomware
The attacker provided a countdown timer threatening to double the ransom demand,ransomware
Shadow copies were deleted by the attacker before the encryption routine began,ransomware
A ransomware affiliate group claimed responsibility and published a leak site listing,ransomware
IT staff found every database file renamed with a random extension and a payment demand,ransomware
Web server became unreachable after receiving an unusually high volume of traffic,ddos
Network monitoring detected a flood of connection requests overwhelming the firewall,ddos
Customer facing application experienced downtime due to a distributed denial of service attack,ddos
Traffic from thousands of distinct addresses targeted the login endpoint simultaneously,ddos
Bandwidth usage spiked tenfold within minutes causing the website to time out,ddos
A botnet was used to send amplified requests toward the company public facing server,ddos
Application layer flood targeted the checkout page during a peak sales period,ddos
Flood traffic saturated the company internet connection for several hours,ddos
Load balancers failed after being overwhelmed with a massive number of requests,ddos
Service became unavailable after a volumetric attack exceeded normal traffic by a huge margin,ddos
Attackers used a reflection technique to amplify traffic directed at the target server,ddos
The website slowed to a crawl after being targeted by a coordinated traffic flood,ddos
Multiple data centers reported abnormal spikes in inbound connection attempts at the same time,ddos
Mitigation service absorbed a large scale attack aimed at the company's primary domain,ddos
Server resources were exhausted after thousands of simultaneous fake session requests,ddos
Network engineers observed a sustained flood of traffic from a rented botnet infrastructure,ddos
Web application logs show crafted input attempting to bypass login using database query syntax,sql_injection
An attacker injected a union based statement into the search field to dump database records,sql_injection
Penetration test revealed the customer portal was vulnerable to injection on the login form,sql_injection
Database error messages were returned to the user after submitting malicious query characters,sql_injection
Attacker used a quote and comment sequence to bypass the authentication check,sql_injection
Automated scanner detected an endpoint vulnerable to a blind database injection technique,sql_injection
Sensitive customer records were exposed after a successful injection attack on the order form,sql_injection
Input validation was missing on the search bar allowing arbitrary database commands to run,sql_injection
Attacker extracted the administrator password hash using a time based injection technique,sql_injection
A crafted query parameter caused the application to reveal internal database table names,sql_injection
Logs show repeated attempts to manipulate the query string with database control characters,sql_injection
The vulnerability allowed an attacker to bypass authentication by altering the login query,sql_injection
An unsanitized form field allowed an attacker to read arbitrary rows from the customer table,sql_injection
Security testing confirmed the reporting tool was susceptible to a query manipulation attack,sql_injection
Error based injection technique was used to enumerate the structure of the production database,sql_injection
A departing employee copied confidential client data to a personal drive before resigning,insider_threat
An employee accessed payroll records far outside their normal job responsibilities,insider_threat
Audit logs show a staff member downloaded source code repositories shortly before quitting,insider_threat
A privileged account was used outside business hours to access financial reports without approval,insider_threat
An employee was found emailing proprietary design documents to a personal account,insider_threat
Access logs reveal a contractor viewed customer records unrelated to their assigned project,insider_threat
A system administrator disabled audit logging before making unauthorized configuration changes,insider_threat
An employee shared their login credentials with a former colleague after leaving the company,insider_threat
Unusual after hours access to the human resources database was traced to a disgruntled employee,insider_threat
Sensitive intellectual property was uploaded to a personal cloud storage account by an employee,insider_threat
A staff member was caught exporting the entire customer list shortly after a negative review,insider_threat
Investigators found an employee had been quietly selling internal reports to a competitor,insider_threat
An employee abused administrative access to read the private messages of coworkers,insider_threat
A former employee's account was used to access internal systems weeks after their last day,insider_threat
Data loss prevention tools flagged a large unauthorized transfer of files to removable media,insider_threat
Intrusion detection system flagged repeated failed login attempts from an external address,network_intrusion
Unauthorized lateral movement was detected between internal network segments,network_intrusion
An attacker exploited an unpatched remote access appliance to gain entry to the internal network,network_intrusion
Port scanning activity was detected probing the company's externally facing servers,network_intrusion
A misconfigured firewall rule allowed external access to an internal database server,network_intrusion
Logs show a successful brute force attack against the remote desktop service,network_intrusion
Network traffic analysis revealed data being exfiltrated to an unfamiliar external host,network_intrusion
An attacker gained a foothold by exploiting a known vulnerability in the file server,network_intrusion
Suspicious lateral movement used stolen credentials to access multiple internal systems,network_intrusion
Firewall logs show repeated connection attempts to an internal server from a foreign network range,network_intrusion
An attacker pivoted from a compromised workstation to reach the internal domain controller,network_intrusion
Unusual administrative logins were traced to a previously unseen external network range,network_intrusion
A compromised edge router was used as an entry point into the internal network,network_intrusion
Security monitoring detected reconnaissance scanning across the entire internal subnet,network_intrusion
An attacker used a stolen certificate to establish a trusted connection into the network,network_intrusion
Can you check why a voicemail impersonating a software vendor wants a new employee to confirm a recent wire transfer?,phishing
A fraudulent message claiming to be Amazon asked the finance team to provide their employee ID and password.,phishing
An executive assistant were lured by an email disguised as the company CEO into trying to enter their login details on a linked page.,phishing
Ticket: the finance team got a text message pretending to be a software vendor and almost agreed to update their billing information.,phishing
A remote employee received a chat message impersonating the benefits administrator that asked them to enter their login details on a linked page.,phishing
Security flagged a calendar invite sent to several staff members that impersonated Amazon and asked them to update their billing information.,phishing
Several staff members were lured by an email disguised as a major airline into trying to reset their password through an external link.,phishing
A spoofed message imitating Microsoft 365 convinced a new employee to provide their employee ID and password.,phishing
Security flagged a text message sent to several staff members that impersonated a software vendor and asked them to verify their account credentials.,phishing
"Heads up, a fake invoice pretending to be Microsoft 365 is going around asking a remote employee to enter their login details on a linked page.",phishing
"Staff reported a chat message requesting they verify their account credentials, claiming to be sent by a delivery courier.",phishing
A look alike domain mimicking the HR department was used to get several staff members to provide their employee ID and password.,phishing
Why did a voicemail claiming to be a software vendor ask the accounting department to download an urgent attachment?,phishing
A social media message pretending to be from Amazon pressured the customer support team to approve a pending payment request.,phishing
"Heads up, a social media message pretending to be a major airline is going around asking the customer support team to verify their account credentials.",phishing
"Staff reported a text message requesting they scan a QR code to verify their identity, claiming to be sent by a cloud storage provider.",phishing
Investigators traced an email that tricked several staff members into attempting to enter their login details on a linked page.,phishing
"Flagged: a new employee received an email from someone posing as the company CEO, pushing them to reset their password through an external link.",phishing
Security flagged a voicemail sent to a new employee that impersonated Microsoft 365 and asked them to scan a QR code to verify their identity.,phishing
Why did a social media message claiming to be the bank ask an executive assistant to reset their password through an external link?,phishing
Security flagged a text message sent to a new employee that impersonated the payroll provider and asked them to log in through a cloned portal.,phishing
An executive assistant received a text message impersonating the benefits administrator that asked them to provide their employee ID and password.,phishing
Security flagged an SMS alert sent to the procurement team that impersonated a cloud storage provider and asked them to confirm a recent wire transfer.,phishing
The accounting department received a voicemail impersonating a cloud storage provider that asked them to click a link to claim a refund.,phishing
A spoofed message imitating a cloud storage provider convinced the procurement team to update their billing information.,phishing
A fraudulent message claiming to be the company's bank asked several staff members to confirm a recent wire transfer.,phishing
A fraudulent message claiming to be Google Workspace asked the customer support team to reset their password through an external link.,phishing
A fraudulent message claiming to be the IT helpdesk asked an executive assistant to provide their employee ID and password.,phishing
The customer support team were lured by a fake invoice disguised as Google Workspace into trying to provide their employee ID and password.,phishing
A new employee were lured by a chat message disguised as a software vendor into trying to log in through a cloned portal.,phishing
Investigators traced a calendar invite that tricked a remote employee into attempting to enter their login details on a linked page.,phishing
"Flagged: a new employee received an email from someone posing as the bank, pushing them to scan a QR code to verify their identity.",phishing
Ticket: a new employee got a chat message pretending to be a software vendor and almost agreed to download an urgent attachment.,phishing
"Staff reported an SMS alert requesting they scan a QR code to verify their identity, claiming to be sent by a cloud storage provider.",phishing
Investigators traced a calendar invite that tricked a remote employee into attempting to provide their employee ID and password.,phishing
"Staff reported a chat message requesting they confirm a recent wire transfer, claiming to be sent by Google Workspace.",phishing
The accounting department were lured by a social media message disguised as Amazon into trying to scan a QR code to verify their identity.,phishing
"Heads up, an SMS alert pretending to be Microsoft 365 is going around asking the finance team to approve a pending payment request.",phishing
A text message pretending to be from the company's bank pressured the procurement team to reset their password through an external link.,phishing
An SMS alert spoofing a major airline was used in an attempt to get a remote employee to scan a QR code to verify their identity.,phishing
A fraudulent message claiming to be the benefits administrator asked a remote employee to enter their login details on a linked page.,phishing
Why did a text message claiming to be the benefits administrator ask the finance team to approve a pending payment request?,phishing
Can you check why a calendar invite impersonating a major airline wants the finance team to approve a pending payment request?,phishing
A look alike domain mimicking the HR department was used to get a new employee to confirm a recent wire transfer.,phishing
Can you check why an email impersonating Microsoft 365 wants the finance team to enter their login details on a linked page?,phishing
Security flagged an email sent to a new employee that impersonated a major airline and asked them to click a link to claim a refund.,phishing
A spoofed message imitating Google Workspace convinced the procurement team to update their billing information.,phishing
Investigators traced a chat message that tricked an executive assistant into attempting to download an urgent attachment.,phishing
The finance team received a text message impersonating the payroll provider that asked them to update their billing information.,phishing
A spoofed message imitating Amazon convinced several staff members to verify their account credentials.,phishing
Why did a voicemail claiming to be a delivery courier ask the customer support team to enter their login details on a linked page?,phishing
"Heads up, a chat message pretending to be the company's bank is going around asking the finance team to log in through a cloned portal.",phishing
Ticket: an executive assistant got a calendar invite pretending to be Google Workspace and almost agreed to reset their password through an external link.,phishing
The procurement team were lured by a social media message disguised as the benefits administrator into trying to verify their account credentials.,phishing
Ticket: a remote employee got an email pretending to be PayPal and almost agreed to approve a pending payment request.,phishing
"Flagged: the accounting department received an SMS alert from someone posing as a major airline, pushing them to download an urgent attachment.",phishing
"Flagged: several staff members received a phone call from someone posing as a software vendor, pushing them to provide their employee ID and password.",phishing
Security flagged a text message sent to the finance team that impersonated a major airline and asked them to share a one time passcode.,phishing
A text message pretending to be from the benefits administrator pressured the customer support team to verify their account credentials.,phishing
An email pretending to be from Microsoft 365 pressured an executive assistant to share a one time passcode.,phishing
Several staff members received an SMS alert impersonating the IT helpdesk that asked them to reset their password through an external link.,phishing
A spoofed message imitating the company CEO convinced a new employee to download an urgent attachment.,phishing
Investigators traced a phone call that tricked the customer support team into attempting to download an urgent attachment.,phishing
The procurement team were lured by a social media message disguised as Amazon into trying to confirm a recent wire transfer.,phishing
A look alike domain mimicking Amazon was used to get the accounting department to download an urgent attachment.,phishing
Ticket: several staff members got a voicemail pretending to be the bank and almost agreed to reset their password through an external link.,phishing
"Heads up, a social media message pretending to be a major airline is going around asking a new employee to click a link to claim a refund.",phishing
"Flagged: an executive assistant received a calendar invite from someone posing as a cloud storage provider, pushing them to reset their password through an external link.",phishing
The finance team were lured by a voicemail disguised as the benefits administrator into trying to approve a pending payment request.,phishing
A look alike domain mimicking a cloud storage provider was used to get the accounting department to approve a pending payment request.,phishing
The accounting department were lured by a voicemail disguised as a delivery courier into trying to provide their employee ID and password.,phishing
A remote employee received a phone call impersonating the HR department that asked them to update their billing information.,phishing
A spoofed message imitating Google Workspace convinced the customer support team to enter their login details on a linked page.,phishing
A new employee were lured by a social media message disguised as the HR department into trying to scan a QR code to verify their identity.,phishing
The accounting department received a chat message impersonating the payroll provider that asked them to click a link to claim a refund.,phishing
Security flagged a voicemail sent to the customer support team that impersonated PayPal and asked them to verify their account credentials.,phishing
The accounting department were lured by an SMS alert disguised as the IT helpdesk into trying to click a link to claim a refund.,phishing
"Flagged: an executive assistant received an SMS alert from someone posing as the company's bank, pushing them to approve a pending payment request.",phishing
A spoofed message imitating the bank convinced several staff members to log in through a cloned portal.,phishing
"Heads up, a social media message pretending to be the company CEO is going around asking a new employee to approve a pending payment request.",phishing
A spoofed message imitating Amazon convinced a remote employee to download an urgent attachment.,phishing
Why did an SMS alert claiming to be the benefits administrator ask an executive assistant to provide their employee ID and password?,phishing
The customer support team were lured by a calendar invite disguised as Google Workspace into trying to reset their password through an external link.,phishing
A fake invoice pretending to be from a delivery courier pressured the accounting department to share a one time passcode.,phishing
A social media message pretending to be from Google Workspace pressured the finance team to scan a QR code to verify their identity.,phishing
A spoofed message imitating PayPal convinced the customer support team to verify their account credentials.,phishing
A look alike domain mimicking a software vendor was used to get the procurement team to update their billing information.,phishing
"Heads up, a social media message pretending to be a cloud storage provider is going around asking a remote employee to reset their password through an external link.",phishing
An email spoofing the IT helpdesk was used in an attempt to get several staff members to approve a pending payment request.,phishing
Security flagged an email sent to the accounting department that impersonated the IT helpdesk and asked them to update their billing information.,phishing
A social media message pretending to be from PayPal pressured a new employee to confirm a recent wire transfer.,phishing
"Flagged: an executive assistant received an email from someone posing as the payroll provider, pushing them to click a link to claim a refund.",phishing
A spoofed message imitating PayPal convinced a new employee to provide their employee ID and password.,phishing
A calendar invite pretending to be from a delivery courier pressured the customer support team to log in through a cloned portal.,phishing
Several staff members were lured by a chat message disguised as the payroll provider into trying to provide their employee ID and password.,phishing
Security flagged a fake invoice sent to the procurement team that impersonated the company's bank and asked them to confirm a recent wire transfer.,phishing
Security flagged a text message sent to the finance team that impersonated a cloud storage provider and asked them to reset their password through an external link.,phishing
A fake invoice spoofing a delivery courier was used in an attempt to get a remote employee to reset their password through an external link.,phishing
"Flagged: an executive assistant received a social media message from someone posing as Google Workspace, pushing them to enter their login details on a linked page.",phishing
Why did an SMS alert claiming to be the company's bank ask an executive assistant to reset their password through an external link?,phishing
Security flagged a fake invoice sent to the accounting department that impersonated a software vendor and asked them to enter their login details on a linked page.,phishing
"Heads up, a voicemail pretending to be the company CEO is going around asking the accounting department to provide their employee ID and password.",phishing
The procurement team received an SMS alert impersonating the payroll provider that asked them to verify their account credentials.,phishing
A fraudulent message claiming to be the IT helpdesk asked an executive assistant to confirm a recent wire transfer.,phishing
"Staff reported an SMS alert requesting they download an urgent attachment, claiming to be sent by the company's bank.",phishing
"Flagged: several staff members received a fake invoice from someone posing as a software vendor, pushing them to update their billing information.",phishing
A remote employee were lured by a fake invoice disguised as a delivery courier into trying to click a link to claim a refund.,phishing
Security flagged an SMS alert sent to several staff members that impersonated the company CEO and asked them to download an urgent attachment.,phishing
Security flagged a fake invoice sent to an executive assistant that impersonated the IT helpdesk and asked them to provide their employee ID and password.,phishing
Security flagged an email sent to a remote employee that impersonated the benefits administrator and asked them to enter their login details on a linked page.,phishing
A fraudulent message claiming to be Amazon asked a remote employee to log in through a cloned portal.,phishing
A voicemail spoofing a delivery courier was used in an attempt to get the customer support team to reset their password through an external link.,phishing
A chat message pretending to be from the benefits administrator pressured a new employee to enter their login details on a linked page.,phishing
A calendar invite spoofing a software vendor was used in an attempt to get the finance team to scan a QR code to verify their identity.,phishing
"Heads up, a text message pretending to be Amazon is going around asking a new employee to confirm a recent wire transfer.",phishing
"Heads up, an email pretending to be the IT helpdesk is going around asking an executive assistant to log in through a cloned portal.",phishing
"Heads up, a calendar invite pretending to be the bank is going around asking the accounting department to update their billing information.",phishing
"Staff reported a phone call requesting they update their billing information, claiming to be sent by the IT helpdesk.",phishing
A calendar invite pretending to be from a delivery courier pressured a new employee to reset their password through an external link.,phishing
An executive assistant received an SMS alert impersonating a major airline that asked them to scan a QR code to verify their identity.,phishing
Why did an email claiming to be a delivery courier ask the customer support team to approve a pending payment request?,phishing
Why did an email claiming to be the benefits administrator ask an executive assistant to update their billing information?,phishing
A spoofed message imitating the IT helpdesk convinced the procurement team to confirm a recent wire transfer.,phishing
An SMS alert pretending to be from a major airline pressured the accounting department to scan a QR code to verify their identity.,phishing
Ticket: several staff members got a calendar invite pretending to be the bank and almost agreed to update their billing information.,phishing
Can you check why a phone call impersonating a cloud storage provider wants the accounting department to approve a pending payment request?,phishing
Why did a phone call claiming to be Microsoft 365 ask the procurement team to update their billing information?,phishing
Investigators traced a calendar invite that tricked several staff members into attempting to confirm a recent wire transfer.,phishing
Ticket: a remote employee got a chat message pretending to be PayPal and almost agreed to enter their login details on a linked page.,phishing
Can you check why a phone call impersonating a major airline wants a remote employee to approve a pending payment request?,phishing
A spoofed message imitating the benefits administrator convinced the procurement team to click a link to claim a refund.,phishing
A voicemail pretending to be from Amazon pressured several staff members to scan a QR code to verify their identity.,phishing
Investigators traced a phone call that tricked a new employee into attempting to scan a QR code to verify their identity.,phishing
Can you check why a calendar invite impersonating the company's bank wants a remote employee to confirm a recent wire transfer?,phishing
Can you check why a voicemail impersonating a cloud storage provider wants several staff members to update their billing information?,phishing
Ticket: an executive assistant got a voicemail pretending to be Microsoft 365 and almost agreed to approve a pending payment request.,phishing
"Heads up, a phone call pretending to be the benefits administrator is going around asking the accounting department to enter their login details on a linked page.",phishing
Security flagged a chat message sent to an executive assistant that impersonated the HR department and asked them to verify their account credentials.,phishing
"Flagged: the finance team received a calendar invite from someone posing as the IT helpdesk, pushing them to verify their account credentials.",phishing
Ticket: the procurement team got a phone call pretending to be a cloud storage provider and almost agreed to scan a QR code to verify their identity.,phishing
A social media message spoofing the company's bank was used in an attempt to get the customer support team to enter their login details on a linked page.,phishing
Investigators traced an SMS alert that tricked an executive assistant into attempting to enter their login details on a linked page.,phishing
"Staff reported a calendar invite requesting they share a one time passcode, claiming to be sent by the bank.",phishing
"Heads up, a voicemail pretending to be a cloud storage provider is going around asking several staff members to approve a pending payment request.",phishing
An SMS alert spoofing a software vendor was used in an attempt to get several staff members to verify their account credentials.,phishing
Several staff members were lured by a calendar invite disguised as PayPal into trying to share a one time passcode.,phishing
"Staff reported an SMS alert requesting they scan a QR code to verify their identity, claiming to be sent by the IT helpdesk.",phishing
Investigators traced a voicemail that tricked the accounting department into attempting to update their billing information.,phishing
A fraudulent message claiming to be the payroll provider asked the customer support team to download an urgent attachment.,phishing
Why did a calendar invite claiming to be Google Workspace ask a new employee to enter their login details on a linked page?,phishing
Ticket: found a USB drive on a machine that seems to hide its presence using rootkit techniques.,malware
Forensic review found an email attachment on the system configured to create a hidden scheduled task for persistence.,malware
Behavioral analysis observed unusual activity traced back to a system process attempting to disable the host firewall.,malware
Ticket: found an email attachment on a machine that seems to download a second stage payload.,malware
Can someone check a system process that appears to encrypt portions of memory to evade detection?,malware
Analysis confirmed a downloaded file was responsible for an attempt to download a second stage payload.,malware
A quarantined sample identified as an email attachment was confirmed to modify system registry keys on startup.,malware
Can someone check an email attachment that appears to disable endpoint logging shortly after execution?,malware
A quarantined sample identified as a portable application was confirmed to disable the host firewall.,malware
A quarantined sample identified as a portable application was confirmed to create a hidden scheduled task for persistence.,malware
Forensic review found a scheduled task on the system configured to modify system registry keys on startup.,malware
A quarantined sample identified as a macro enabled document was confirmed to disable the host firewall.,malware
Investigation revealed a shared library file designed to hide its presence using rootkit techniques.,malware
Investigation revealed a browser extension designed to download a second stage payload.,malware
Investigation revealed a system process designed to create a hidden scheduled task for persistence.,malware
Network monitoring discovered a browser extension silently trying to encrypt portions of memory to evade detection.,malware
Antivirus software discovered an email attachment silently trying to encrypt portions of memory to evade detection.,malware
A quarantined sample identified as a USB drive was confirmed to create a hidden scheduled task for persistence.,malware
Forensic review found a system process on the system configured to hide its presence using rootkit techniques.,malware
Analysis confirmed a scheduled task was responsible for an attempt to hide its presence using rootkit techniques.,malware
Can someone check an executable that appears to hide its presence using rootkit techniques?,malware
Why does a USB drive keep trying to capture keystrokes and send them externally?,malware
Ticket: found a scheduled task on a machine that seems to spread across shared network folders.,malware
"A security analyst caught a software installer trying to spread across shared network folders, any idea why?",malware
A scheduled task bundled with a legitimate download was found to install a backdoor that contacts a remote server.,malware
Network monitoring observed unusual activity traced back to a portable application attempting to download a second stage payload.,malware
A macro enabled document was found to modify system registry keys on startup after being executed on a workstation.,malware
Noticed a scheduled task quietly attempting to spread across shared network folders this morning.,malware
Forensic review found an executable on the system configured to disable the host firewall.,malware
Behavioral analysis observed unusual activity traced back to a firmware update file attempting to beacon to a command and control server at regular intervals.,malware
A security analyst discovered a portable application silently trying to capture keystrokes and send them externally.,malware
Forensic review found a system process on the system configured to capture keystrokes and send them externally.,malware
Analysis confirmed a USB drive was responsible for an attempt to disable endpoint logging shortly after execution.,malware
Why does a downloaded file keep trying to beacon to a command and control server at regular intervals?,malware
Endpoint detection tooling observed unusual activity traced back to a shared library file attempting to disable the host firewall.,malware
A scheduled task bundled with a legitimate download was found to disable endpoint logging shortly after execution.,malware
A quarantined sample identified as an executable was confirmed to beacon to a command and control server at regular intervals.,malware
A macro enabled document was found to disable the host firewall after being executed on a workstation.,malware
An executable was found to disable endpoint logging shortly after execution after being executed on a workstation.,malware
Noticed an email attachment quietly attempting to disable endpoint logging shortly after execution this morning.,malware
Why does a software installer keep trying to modify system registry keys on startup?,malware
"Behavioral analysis caught a downloaded file trying to encrypt portions of memory to evade detection, any idea why?",malware
Can someone check a scheduled task that appears to download a second stage payload?,malware
A compromised host showed signs of a USB drive that began to install a backdoor that contacts a remote server.,malware
Investigation revealed a USB drive designed to create a hidden scheduled task for persistence.,malware
Sandboxing analysis flagged a scheduled task that attempts to hide its presence using rootkit techniques.,malware
A browser extension bundled with a legitimate download was found to capture keystrokes and send them externally.,malware
Ticket: found a scheduled task on a machine that seems to encrypt portions of memory to evade detection.,malware
A USB drive bundled with a legitimate download was found to create a hidden scheduled task for persistence.,malware
A quarantined sample identified as a scheduled task was confirmed to disable endpoint logging shortly after execution.,malware
An email attachment was found to disable the host firewall after being executed on a workstation.,malware
A USB drive was found to disable endpoint logging shortly after execution after being executed on a workstation.,malware
Ticket: found a browser extension on a machine that seems to install a backdoor that contacts a remote server.,malware
Can someone check an executable that appears to disable the host firewall?,malware
Sandboxing analysis flagged a portable application that attempts to disable endpoint logging shortly after execution.,malware
A quarantined sample identified as an executable was confirmed to inject code into another running process.,malware
Investigation revealed a downloaded file designed to create a hidden scheduled task for persistence.,malware
Can someone check a shared library file that appears to spread across shared network folders?,malware
A quarantined sample identified as a macro enabled document was confirmed to spread across shared network folders.,malware
Investigation revealed an email attachment designed to create a hidden scheduled task for persistence.,malware
Threat hunting observed unusual activity traced back to a macro enabled document attempting to encrypt portions of memory to evade detection.,malware
Can someone check a scheduled task that appears to capture keystrokes and send them externally?,malware
A shared library file bundled with a legitimate download was found to hide its presence using rootkit techniques.,malware
Forensic review found an email attachment on the system configured to inject code into another running process.,malware
Forensic review found a software installer on the system configured to disable the host firewall.,malware
Forensic review found an email attachment on the system configured to modify system registry keys on startup.,malware
Forensic review found a system process on the system configured to modify system registry keys on startup.,malware
Why does a macro enabled document keep trying to inject code into another running process?,malware
"Endpoint detection tooling caught a system process trying to modify system registry keys on startup, any idea why?",malware
A compromised host showed signs of a shared library file that began to inject code into another running process.,malware
Antivirus software flagged a shared library file that attempts to capture keystrokes and send them externally.,malware
Network monitoring observed unusual activity traced back to a scheduled task attempting to modify system registry keys on startup.,malware
Ticket: found a downloaded file on a machine that seems to disable the host firewall.,malware
A firmware update file bundled with a legitimate download was found to capture keystrokes and send them externally.,malware
A quarantined sample identified as a firmware update file was confirmed to disable endpoint logging shortly after execution.,malware
A compromised host showed signs of a software installer that began to inject code into another running process.,malware
A quarantined sample identified as a software installer was confirmed to encrypt portions of memory to evade detection.,malware
Sandboxing analysis discovered a shared library file silently trying to modify system registry keys on startup.,malware
Investigation revealed a system process designed to hide its presence using rootkit techniques.,malware
A shared library file bundled with a legitimate download was found to encrypt portions of memory to evade detection.,malware
Forensic review found a shared library file on the system configured to disable endpoint logging shortly after execution.,malware
Ticket: found a browser extension on a machine that seems to disable endpoint logging shortly after execution.,malware
Analysis confirmed a firmware update file was responsible for an attempt to encrypt portions of memory to evade detection.,malware
"The SOC team caught an email attachment trying to beacon to a command and control server at regular intervals, any idea why?",malware
A macro enabled document was found to inject code into another running process after being executed on a workstation.,malware
Threat hunting observed unusual activity traced back to a software installer attempting to create a hidden scheduled task for persistence.,malware
Ticket: found a browser extension on a machine that seems to spread across shared network folders.,malware
Behavioral analysis flagged a downloaded file that attempts to hide its presence using rootkit techniques.,malware
A compromised host showed signs of a software installer that began to install a backdoor that contacts a remote server.,malware
A compromised host showed signs of a downloaded file that began to beacon to a command and control server at regular intervals.,malware
"The SOC team caught a system process trying to install a backdoor that contacts a remote server, any idea why?",malware
Noticed a firmware update file quietly attempting to encrypt portions of memory to evade detection this morning.,malware
Why does a browser extension keep trying to capture keystrokes and send them externally?,malware
A quarantined sample identified as an email attachment was confirmed to encrypt portions of memory to evade detection.,malware
A compromised host showed signs of a firmware update file that began to encrypt portions of memory to evade detection.,malware
Investigation revealed a downloaded file designed to encrypt portions of memory to evade detection.,malware
Can someone check a firmware update file that appears to inject code into another running process?,malware
Sandboxing analysis observed unusual activity traced back to a software installer attempting to disable the host firewall.,malware
A USB drive was found to install a backdoor that contacts a remote server after being executed on a workstation.,malware
Forensic review found an email attachment on the system configured to capture keystrokes and send them externally.,malware
"Endpoint detection tooling caught an email attachment trying to encrypt portions of memory to evade detection, any idea why?",malware
Ticket: found a system process on a machine that seems to capture keystrokes and send them externally.,malware
Investigation revealed a system process designed to beacon to a command and control server at regular intervals.,malware
Ticket: found a shared library file on a machine that seems to modify system registry keys on startup.,malware
Why does a system process keep trying to inject code into another running process?,malware
